Response_ID,Employee_ID,Survey_Round,Milestone,Driver,Score,Comment,Submitted_At,sentiment,x_confidential,manager_response_days
PK-5032,EMP7013,Day 60,Day 60,Role Clarity,2,Enjoying the projects.,2026-07-09 00:00:00,positive,false,6
PK-5033,EMP7014,Day 7,Day 7,Onboarding,7,Smooth onboarding.,2026-06-29 00:00:00,positive,false,
PK-5034,EMP7014,Day 30,Day 30,Belonging,7,Would like more 1:1 time.,2026-06-29 00:00:00,neutral,false,
PK-5035,EMP7014,Day 60,Day 60,Role Clarity,3,"Good start, team is welcoming.",14/07/2026,positive,false,4
PK-5036,EMP7015,Day 7,Day 7,Onboarding,5,Enjoying the projects.,2026-07-15 00:00:00,positive,false,
PK-5037,EMP7015,Day 30,Day 30,Belonging,6,"Clear enough, still learning.",16/06/2026,neutral,false,
PK-5038,EMP7015,Day 60,Day 60,Role Clarity,8,"Clear enough, still learning.",2026-07-15 00:00:00,neutral,false,
PK-5039,EMP7016,Day 7,Day 7,Onboarding,6,"Clear enough, still learning.",2026-07-04 00:00:00,neutral,false,
PK-5040,EMP7016,Day 30,Day 30,Belonging,10,Minor delays with access but resolved.,2026-06-26 00:00:00,neutral,false,
PK-5041,EMP7016,Day 60,Day 60,Role Clarity,8,Enjoying the projects.,15/07/2026,positive,false,
PK-5042,EMP7017,Day 60,Day 60,Role Clarity,5,Minor delays with access but resolved.,2026-07-01 00:00:00,neutral,false,
PK-5043,EMP7018,Day 7,Day 7,Onboarding,8,Smooth onboarding.,2026-06-24 00:00:00,positive,false,
PK-5044,EMP7018,Day 30,Day 30,Belonging,9,Minor delays with access but resolved.,2026-07-11 00:00:00,neutral,false,
PK-5045,EMP7019,Day 7,Day 7,Onboarding,2,Smooth onboarding.,2026-06-29 00:00:00,positive,false,6
PK-5046,EMP7019,Day 30,Day 30,Belonging,5,Enjoying the projects.,2026-07-07 00:00:00,positive,false,
PK-5047,EMP7019,Day 60,Day 60,Role Clarity,2,Enjoying the projects.,2026-06-26 00:00:00,positive,false,5
PK-5048,EMP7020,Day 30,Day 30,Belonging,8,Smooth onboarding.,2026-07-09 00:00:00,positive,false,
PK-5049,EMP7020,Day 60,Day 60,Role Clarity,3,"Good start, team is welcoming.",10/07/2026,positive,false,6
PK-5050,EMP7021,Day 7,Day 7,Onboarding,9,Would like more 1:1 time.,2026-06-21 00:00:00,neutral,false,
PK-5051,EMP7021,Day 30,Day 30,Belonging,2,Enjoying the projects.,2026-06-27 00:00:00,positive,false,3
PK-5052,EMP7021,Day 60,Day 60,Role Clarity,7,Would like more 1:1 time.,2026-06-16 00:00:00,neutral,false,
PK-5053,EMP7022,Day 7,Day 7,Onboarding,7,"Clear enough, still learning.",2026-06-20 00:00:00,neutral,false,
PK-5054,EMP7022,Day 30,Day 30,Belonging,6,Minor delays with access but resolved.,2026-07-02 00:00:00,neutral,false,
PK-5055,EMP7022,Day 60,Day 60,Role Clarity,10,Minor delays with access but resolved.,2026-07-12 00:00:00,neutral,false,
PK-5056,EMP7023,Day 7,Day 7,Onboarding,6,Smooth onboarding.,2026-07-08 00:00:00,positive,false,
PK-5057,EMP7023,Day 30,Day 30,Belonging,10,Smooth onboarding.,2026-06-18 00:00:00,positive,false,
PK-5058,EMP7023,Day 60,Day 60,Role Clarity,9,Smooth onboarding.,2026-06-19 00:00:00,positive,false,
PK-5059,EMP7024,Day 7,Day 7,Onboarding,8,"Good start, team is welcoming.",2026-06-21 00:00:00,positive,false,
PK-5060,EMP7024,Day 30,Day 30,Belonging,5,Minor delays with access but resolved.,2026-07-14 00:00:00,neutral,false,
PK-5061,EMP7024,Day 60,Day 60,Role Clarity,7,Would like more 1:1 time.,2026-07-04 00:00:00,neutral,false,
PK-5062,EMP7025,Day 30,Day 30,Belonging,9,"Good start, team is welcoming.",2026-06-21 00:00:00,positive,false,
PK-5063,EMP7025,Day 60,Day 60,Role Clarity,10,Minor delays with access but resolved.,06/07/2026,neutral,false,
PK-5064,EMP7026,Day 7,Day 7,Onboarding,9,Would like more 1:1 time.,2026-06-16 00:00:00,neutral,false,
PK-5065,EMP7026,Day 30,Day 30,Belonging,7,Smooth onboarding.,2026-07-07 00:00:00,positive,false,
PK-5066,EMP7026,Day 60,Day 60,Role Clarity,9,"Clear enough, still learning.",2026-06-18 00:00:00,neutral,false,
PK-5067,EMP7027,Day 30,Day 30,Belonging,3,Minor delays with access but resolved.,2026-06-22 00:00:00,neutral,false,2
PK-5068,EMP7027,Day 60,Day 60,Role Clarity,6,Smooth onboarding.,2026-07-07 00:00:00,positive,false,
PK-5069,EMP7028,Day 7,Day 7,Onboarding,7,"Good start, team is welcoming.",2026-07-10 00:00:00,positive,false,
PK-5070,EMP7028,Day 30,Day 30,Belonging,7,Enjoying the projects.,2026-07-07 00:00:00,positive,false,
PK-5071,EMP7028,Day 60,Day 60,Role Clarity,6,Would like more 1:1 time.,2026-07-11 00:00:00,neutral,false,
PK-5072,EMP7029,Day 7,Day 7,Onboarding,6,Enjoying the projects.,Jul 12 2026,positive,false,
PK-5073,EMP7029,Day 30,Day 30,Belonging,8,Minor delays with access but resolved.,2026-07-07 00:00:00,neutral,false,
PK-5074,EMP7029,Day 60,Day 60,Role Clarity,8,Enjoying the projects.,2026-07-13 00:00:00,positive,false,
PK-5075,EMP7030,Day 7,Day 7,Onboarding,5,Smooth onboarding.,15/07/2026,positive,false,
PK-5076,EMP7030,Day 60,Day 60,Role Clarity,9,"Clear enough, still learning.",30/06/2026,neutral,false,
PK-5077,EMP7031,Day 7,Day 7,Onboarding,3,Smooth onboarding.,04/07/2026,positive,false,6
PK-5078,EMP7031,Day 30,Day 30,Belonging,9,"Clear enough, still learning.",2026-07-05 00:00:00,neutral,false,
PK-5079,EMP7031,Day 60,Day 60,Role Clarity,10,Minor delays with access but resolved.,2026-07-13 00:00:00,neutral,false,
PK-5080,EMP7032,Day 7,Day 7,Onboarding,9,"Clear enough, still learning.",2026-06-21 00:00:00,neutral,false,
PK-5081,EMP7032,Day 60,Day 60,Role Clarity,9,Smooth onboarding.,2026-06-19 00:00:00,positive,false,
PK-5082,EMP7033,Day 7,Day 7,Onboarding,6,Would like more 1:1 time.,2026-07-04 00:00:00,neutral,false,
PK-5083,EMP7033,Day 30,Day 30,Belonging,9,Minor delays with access but resolved.,2026-06-30 00:00:00,neutral,false,
PK-5084,EMP7033,Day 60,Day 60,Role Clarity,9,"Clear enough, still learning.",2026-06-30 00:00:00,neutral,false,
PK-5085,EMP7034,Day 30,Day 30,Belonging,10,"Good start, team is welcoming.",Jul 07 2026,positive,false,
PK-5086,EMP7035,Day 30,Day 30,Belonging,8,Smooth onboarding.,2026-07-02 00:00:00,positive,false,
PK-5087,EMP7035,Day 60,Day 60,Role Clarity,9,Minor delays with access but resolved.,2026-06-16 00:00:00,neutral,false,
PK-5088,EMP7036,Day 7,Day 7,Onboarding,8,"Clear enough, still learning.",2026-06-30 00:00:00,neutral,false,
PK-5089,EMP7036,Day 60,Day 60,Role Clarity,6,Minor delays with access but resolved.,15/06/2026,neutral,false,
PK-5090,EMP7037,Day 7,Day 7,Onboarding,3,Minor delays with access but resolved.,2026-07-05 00:00:00,neutral,false,6
PK-5091,EMP7037,Day 30,Day 30,Belonging,7,Minor delays with access but resolved.,21/06/2026,neutral,false,
PK-5092,EMP7038,Day 7,Day 7,Onboarding,9,Enjoying the projects.,2026-06-29 00:00:00,positive,false,
PK-5093,EMP7038,Day 30,Day 30,Belonging,9,Smooth onboarding.,2026-06-28 00:00:00,positive,false,
PK-5094,EMP7039,Day 7,Day 7,Onboarding,5,"Good start, team is welcoming.",2026-07-02 00:00:00,positive,false,
PK-5095,EMP7039,Day 30,Day 30,Belonging,7,Smooth onboarding.,2026-07-01 00:00:00,positive,false,
PK-5096,EMP7039,Day 60,Day 60,Role Clarity,6,Enjoying the projects.,2026-07-05 00:00:00,positive,false,
PK-5097,EMP7040,Day 60,Day 60,Role Clarity,6,Would like more 1:1 time.,Jun 18 2026,neutral,false,
PK-5098,EMP7041,Day 7,Day 7,Onboarding,10,Smooth onboarding.,23/06/2026,positive,false,
PK-5099,EMP7041,Day 30,Day 30,Belonging,10,"Good start, team is welcoming.",02/07/2026,positive,false,
PK-5100,EMP7041,Day 60,Day 60,Role Clarity,10,Minor delays with access but resolved.,2026-07-04 00:00:00,neutral,false,
PK-5101,EMP7042,Day 7,Day 7,Onboarding,7,"Clear enough, still learning.",Jul 06 2026,neutral,false,
PK-5102,EMP7042,Day 30,Day 30,Belonging,6,"Clear enough, still learning.",2026-07-04 00:00:00,neutral,false,
PK-5103,EMP7042,Day 60,Day 60,Role Clarity,10,Would like more 1:1 time.,2026-06-22 00:00:00,neutral,false,
PK-5104,EMP7043,Day 7,Day 7,Onboarding,5,"Good start, team is welcoming.",2026-06-16 00:00:00,positive,false,
PK-5105,EMP7043,Day 30,Day 30,Belonging,6,Minor delays with access but resolved.,2026-07-15 00:00:00,neutral,false,
PK-5106,EMP7043,Day 60,Day 60,Role Clarity,3,"Clear enough, still learning.",2026-06-20 00:00:00,neutral,false,5
PK-5107,EMP7044,Day 30,Day 30,Belonging,7,Would like more 1:1 time.,24/06/2026,neutral,false,
PK-5108,EMP7044,Day 60,Day 60,Role Clarity,7,Minor delays with access but resolved.,2026-06-23 00:00:00,neutral,false,
PK-5109,EMP7045,Day 7,Day 7,Onboarding,5,"Good start, team is welcoming.",2026-06-27 00:00:00,positive,false,
PK-5110,EMP7045,Day 30,Day 30,Belonging,8,Enjoying the projects.,2026-06-15 00:00:00,positive,false,
PK-5111,EMP7045,Day 60,Day 60,Role Clarity,7,Minor delays with access but resolved.,2026-06-22 00:00:00,neutral,false,
PK-5112,EMP7046,Day 7,Day 7,Onboarding,6,"Good start, team is welcoming.",2026-06-19 00:00:00,positive,false,
PK-5113,EMP7046,Day 30,Day 30,Belonging,9,"Clear enough, still learning.",2026-07-01 00:00:00,neutral,false,
PK-5114,EMP7046,Day 60,Day 60,Role Clarity,3,"Good start, team is welcoming.",2026-07-12 00:00:00,positive,false,6
PK-5115,EMP7047,Day 7,Day 7,Onboarding,8,Would like more 1:1 time.,2026-07-03 00:00:00,neutral,false,
PK-5116,EMP7047,Day 30,Day 30,Belonging,6,Would like more 1:1 time.,2026-06-27 00:00:00,neutral,false,
PK-5117,EMP7047,Day 60,Day 60,Role Clarity,9,Would like more 1:1 time.,2026-06-26 00:00:00,neutral,false,
PK-5118,EMP7048,Day 30,Day 30,Belonging,5,Enjoying the projects.,2026-06-17 00:00:00,positive,false,
PK-5119,EMP7050,Day 7,Day 7,Onboarding,6,"Clear enough, still learning.",Jun 26 2026,neutral,false,
PK-5120,EMP7050,Day 30,Day 30,Belonging,3,Would like more 1:1 time.,2026-06-22 00:00:00,neutral,false,5
PK-5121,EMP7051,Day 7,Day 7,Onboarding,8,"Clear enough, still learning.",2026-06-19 00:00:00,neutral,false,
PK-5122,EMP7051,Day 30,Day 30,Belonging,8,Smooth onboarding.,2026-07-05 00:00:00,positive,false,
PK-5123,EMP7052,Day 7,Day 7,Onboarding,9,Enjoying the projects.,2026-07-13 00:00:00,positive,false,
PK-5124,EMP7052,Day 30,Day 30,Belonging,5,Would like more 1:1 time.,2026-07-06 00:00:00,neutral,false,
PK-5125,EMP7052,Day 60,Day 60,Role Clarity,6,"Good start, team is welcoming.",2026-07-10 00:00:00,positive,false,
PK-5126,EMP7053,Day 30,Day 30,Belonging,8,"Clear enough, still learning.",2026-07-12 00:00:00,neutral,false,
PK-5127,EMP7054,Day 7,Day 7,Onboarding,6,Would like more 1:1 time.,2026-06-20 00:00:00,neutral,false,
PK-5128,EMP7054,Day 60,Day 60,Role Clarity,7,"Good start, team is welcoming.",2026-07-02 00:00:00,positive,false,
PK-5129,EMP7055,Day 7,Day 7,Onboarding,8,"Good start, team is welcoming.",22/06/2026,positive,false,
PK-5130,EMP7055,Day 60,Day 60,Role Clarity,8,"Good start, team is welcoming.",2026-06-27 00:00:00,positive,false,
PK-5131,EMP7056,Day 7,Day 7,Onboarding,8,Minor delays with access but resolved.,16/06/2026,neutral,false,
PK-5132,EMP7056,Day 30,Day 30,Belonging,5,"Good start, team is welcoming.",2026-07-02 00:00:00,positive,false,
PK-5133,EMP7056,Day 60,Day 60,Role Clarity,7,Minor delays with access but resolved.,2026-06-21 00:00:00,neutral,false,
PK-5134,EMP7057,Day 7,Day 7,Onboarding,6,"Good start, team is welcoming.",2026-06-17 00:00:00,positive,false,
PK-5135,EMP7057,Day 30,Day 30,Belonging,6,Smooth onboarding.,Jun 15 2026,positive,false,
PK-5136,EMP7058,Day 7,Day 7,Onboarding,5,Enjoying the projects.,2026-07-05 00:00:00,positive,false,
PK-5137,EMP7058,Day 30,Day 30,Belonging,10,Smooth onboarding.,2026-07-10 00:00:00,positive,false,
PK-5138,EMP7058,Day 60,Day 60,Role Clarity,10,"Good start, team is welcoming.",2026-07-10 00:00:00,positive,false,
PK-5139,EMP7059,Day 7,Day 7,Onboarding,10,"Good start, team is welcoming.",2026-06-17 00:00:00,positive,false,
PK-5140,EMP7059,Day 60,Day 60,Role Clarity,8,"Clear enough, still learning.",2026-06-24 00:00:00,neutral,false,
PK-5141,EMP7060,Day 7,Day 7,Onboarding,9,Smooth onboarding.,Jun 9 2026,positive,false,
PK-5142,EMP7061,Day 7,Day 7,Onboarding,7,"Good start, team is welcoming.",2026-06-02 00:00:00,positive,false,
PK-5143,EMP7061,Day 30,Day 30,Belonging,6,Enjoying the projects.,2026-06-27 00:00:00,positive,false,
PK-5144,EMP7061,Day 60,Day 60,Role Clarity,8,Would like more 1:1 time.,2026-07-23 00:00:00,neutral,false,
PK-5145,EMP7062,Day 7,Day 7,Onboarding,8,Enjoying the projects.,04/06/2026,positive,false,
PK-5146,EMP7063,Day 7,Day 7,Onboarding,7,Minor delays with access but resolved.,Jun 5 2026,neutral,false,
PK-5147,EMP7063,Day 30,Day 30,Belonging,6,Enjoying the projects.,2026-06-30 00:00:00,positive,false,
PK-5148,EMP7063,Day 60,Day 60,Role Clarity,8,"Good start, team is welcoming.",2026-07-22 00:00:00,positive,false,
PK-5149,EMP7064,Day 7,Day 7,Onboarding,6,Minor delays with access but resolved.,2026-05-31 00:00:00,neutral,false,
PK-5150,EMP7064,Day 30,Day 30,Belonging,6,"Good start, team is welcoming.",27/06/2026,positive,false,
PK-5151,EMP7064,Day 60,Day 60,Role Clarity,10,Smooth onboarding.,Jul 30 2026,positive,false,
PK-5152,EMP7065,Day 7,Day 7,Onboarding,8,Smooth onboarding.,2026-06-02 00:00:00,positive,false,
PK-5153,EMP7066,Day 7,Day 7,Onboarding,7,"Clear enough, still learning.",2026-06-05 00:00:00,neutral,false,
PK-5154,EMP7066,Day 30,Day 30,Belonging,9,Smooth onboarding.,2026-06-29 00:00:00,positive,false,
PK-5155,EMP7066,Day 60,Day 60,Role Clarity,8,Would like more 1:1 time.,22/07/2026,neutral,false,
PK-5156,EMP7067,Day 7,Day 7,Onboarding,9,Enjoying the projects.,Jun 1 2026,positive,false,
PK-5157,EMP7068,Day 7,Day 7,Onboarding,9,Would like more 1:1 time.,2026-06-02 00:00:00,neutral,false,
PK-5158,EMP7068,Day 30,Day 30,Belonging,10,Enjoying the projects.,2026-06-29 00:00:00,positive,false,
PK-5159,EMP7069,Day 7,Day 7,Onboarding,10,Would like more 1:1 time.,2026-06-04 00:00:00,neutral,false,
PK-5160,EMP7069,Day 30,Day 30,Belonging,7,"Good start, team is welcoming.",27/06/2026,positive,false,
PK-5161,EMP7069,Day 60,Day 60,Role Clarity,7,Minor delays with access but resolved.,Jul 23 2026,neutral,false,
PK-5162,EMP7070,Day 7,Day 7,Onboarding,8,Enjoying the projects.,2026-05-29 00:00:00,positive,false,
PK-5163,EMP7070,Day 30,Day 30,Belonging,9,Minor delays with access but resolved.,2026-06-27 00:00:00,neutral,false,
PK-5164,EMP7071,Day 7,Day 7,Onboarding,10,Smooth onboarding.,2026-06-02 00:00:00,positive,false,
PK-5165,EMP7071,Day 30,Day 30,Belonging,6,Minor delays with access but resolved.,26/06/2026,neutral,false,
PK-5166,EMP7072,Day 7,Day 7,Onboarding,9,Would like more 1:1 time.,Jul 13 2026,neutral,false,
PK-5167,EMP7072,Day 30,Day 30,Belonging,10,Smooth onboarding.,2026-08-10 00:00:00,positive,false,
PK-5168,EMP7073,Day 7,Day 7,Onboarding,6,Smooth onboarding.,2026-07-20 00:00:00,positive,false,
PK-5169,EMP7073,Day 30,Day 30,Belonging,2,Honestly I feel disconnected and unsure this role is the right fit. Not much has clicked.,2026-08-12 00:00:00,negative,false,4
PK-5170,EMP7074,Day 7,Day 7,Onboarding,8,Would like more 1:1 time.,13/06/2026,neutral,false,
PK-5171,EMP7074,Day 30,Day 30,Belonging,,,,,false,
PK-5172,EMP7075,Day 7,Day 7,Onboarding,8,Minor delays with access but resolved.,2026-06-26 00:00:00,neutral,false,
PK-5173,EMP7076,Day 7,Day 7,Onboarding,2,I keep chasing IT for access and it is wearing me down.,2026-06-10 00:00:00,negative,false,2
PK-5174,EMP7076,Day 30,Day 30,Belonging,9,Minor delays with access but resolved.,2026-07-02 00:00:00,neutral,false,
PK-5175,EMP7077,Day 7,Day 7,Onboarding,9,Minor delays with access but resolved.,22/08/2026,neutral,false,
PK-5176,EMP7077,Day 30,Day 30,Belonging,10,Smooth onboarding.,Sep 10 2026,positive,false,
PK-5177,EMP7078,Day 7,Day 7,Onboarding,10,"Clear enough, still learning.",2026-08-23 00:00:00,neutral,false,
PK-5178,EMP7078,Day 30,Day 30,Belonging,2,Honestly I feel disconnected and unsure this role is the right fit. Not much has clicked.,2026-09-09 00:00:00,negative,false,5
PK-5179,EMP7078,Day 60,Day 60,Role Clarity,6,"Clear enough, still learning.",2026-10-07 00:00:00,neutral,false,
PK-5180,EMP7079,Day 7,Day 7,Onboarding,4,I keep chasing IT for access and it is wearing me down.,22/06/2026,negative,false,6
PK-5181,EMP7079,Day 30,Day 30,Belonging,,,,,false,
PK-5182,EMP7080,Day 7,Day 7,Onboarding,4,Workload is heavy and I am not sure my manager notices.,2026-08-19 00:00:00,negative,false,
PK-5183,EMP7080,Day 30,Day 30,Belonging,3,I keep chasing IT for access and it is wearing me down.,2026-09-16 00:00:00,negative,false,
PK-5184,EMP7080,Day 60,Day 60,Role Clarity,3,I keep chasing IT for access and it is wearing me down.,2026-10-14 00:00:00,negative,false,
PK-5185,EMP7081,Day 7,Day 7,Onboarding,4,Workload is heavy and I am not sure my manager notices.,14/07/2026,negative,false,
PK-5186,EMP7081,Day 30,Day 30,Belonging,4,Honestly I feel disconnected and unsure this role is the right fit. Not much has clicked.,Jul 31 2026,negative,false,
PK-5187,EMP7081,Day 60,Day 60,Role Clarity,4,I keep chasing IT for access and it is wearing me down.,2026-08-31 00:00:00,negative,false,
PK-5188,EMP7082,Day 7,Day 7,Onboarding,9,"Clear enough, still learning.",2026-06-08 00:00:00,neutral,false,
PK-5189,EMP7083,Day 7,Day 7,Onboarding,8,Smooth onboarding.,2026-08-26 00:00:00,positive,false,
PK-5190,EMP7083,Day 30,Day 30,Belonging,4,Workload is heavy and I am not sure my manager notices.,12/09/2026,negative,false,6
PK-5191,EMP7084,Day 7,Day 7,Onboarding,8,Smooth onboarding.,Jul 10 2026,positive,false,
PK-5192,EMP7084,Day 30,Day 30,Belonging,,,,,false,
PK-5193,EMP7084,Day 60,Day 60,Role Clarity,8,Smooth onboarding.,2026-08-30 00:00:00,positive,false,
PK-5194,EMP7085,Day 7,Day 7,Onboarding,3,"Clear enough, still learning.",2026-07-10 00:00:00,neutral,false,6
PK-5195,EMP7085,Day 30,Day 30,Belonging,3,"Clear enough, still learning.",04/08/2026,neutral,false,6
PK-5196,EMP7085,Day 60,Day 60,Role Clarity,3,"Clear enough, still learning.",Sep 6 2026,neutral,false,5
PK-5197,EMP7086,Day 7,Day 7,Onboarding,6,Would like more 1:1 time.,2026-07-24 00:00:00,neutral,false,
PK-5198,EMP7086,Day 30,Day 30,Belonging,,,,,false,
PK-5199,EMP7086,Day 60,Day 60,Role Clarity,6,Would like more 1:1 time.,2026-09-19 00:00:00,neutral,false,
PK-5200,EMP7087,Day 7,Day 7,Onboarding,10,Smooth onboarding.,29/07/2026,positive,false,
PK-5201,EMP7087,Day 30,Day 30,Belonging,7,"Clear enough, still learning.",Aug 16 2026,neutral,false,
PK-5202,EMP7087,Day 60,Day 60,Role Clarity,7,Enjoying the projects.,2026-09-17 00:00:00,positive,false,
PK-5203,EMP7088,Day 7,Day 7,Onboarding,9,"Good start, team is welcoming.",2026-07-21 00:00:00,positive,false,
PK-5204,EMP7088,Day 30,Day 30,Belonging,7,"Clear enough, still learning.",2026-08-13 00:00:00,neutral,false,
PK-5205,EMP7088,Day 60,Day 60,Role Clarity,6,Minor delays with access but resolved.,14/09/2026,neutral,false,
PK-5206,EMP7089,Day 7,Day 7,Onboarding,7,"Good start, team is welcoming.",Jul 29 2026,positive,false,
PK-5207,EMP7089,Day 30,Day 30,Belonging,9,"Good start, team is welcoming.",2026-08-19 00:00:00,positive,false,
PK-5208,EMP7090,Day 7,Day 7,Onboarding,10,"Good start, team is welcoming.",2026-07-06 00:00:00,positive,false,
PK-5209,EMP7090,Day 30,Day 30,Belonging,4,A senior colleague has made repeated inappropriate comments and I do not feel safe reporting it through my manager.,2026-07-29 00:00:00,concern,true,
PK-5210,EMP7090,Day 60,Day 60,Role Clarity,7,Would like more 1:1 time.,01/09/2026,neutral,false,
PK-5211,EMP7091,Day 7,Day 7,Onboarding,10,Would like more 1:1 time.,Aug 16 2026,neutral,false,
PK-5212,EMP7092,Day 7,Day 7,Onboarding,7,Enjoying the projects.,2026-05-28 00:00:00,positive,false,
PK-5213,EMP7093,Day 7,Day 7,Onboarding,,,,,false,
PK-5214,EMP7093,Day 30,Day 30,Belonging,2,Honestly I feel disconnected and unsure this role is the right fit. Not much has clicked.,2026-06-08 00:00:00,negative,false,1
PK-5215,EMP7094,Day 7,Day 7,Onboarding,,,,,false,
PK-5216,EMP7094,Day 30,Day 30,Belonging,9,Smooth onboarding.,Aug 29 2026,positive,false,
PK-5217,EMP7094,Day 60,Day 60,Role Clarity,6,Enjoying the projects.,2026-09-28 00:00:00,positive,false,
PK-5218,EMP7095,Day 7,Day 7,Onboarding,4,I was asked to keep working while on approved medical leave and I fear retaliation if I refuse.,2026-05-25 00:00:00,concern,true,
PK-5219,EMP7095,Day 30,Day 30,Belonging,8,"Good start, team is welcoming.",2026-06-17 00:00:00,positive,false,
PK-5220,EMP7095,Day 60,Day 60,Role Clarity,9,"Clear enough, still learning.",18/07/2026,neutral,false,
PK-5221,EMP7096,Day 7,Day 7,Onboarding,8,"Clear enough, still learning.",Jun 10 2026,neutral,false,
PK-5222,EMP7096,Day 30,Day 30,Belonging,8,Enjoying the projects.,2026-07-02 00:00:00,positive,false,
PK-5223,EMP7097,Day 7,Day 7,Onboarding,7,Would like more 1:1 time.,2026-08-02 00:00:00,neutral,false,
PK-5224,EMP7098,Day 7,Day 7,Onboarding,6,"Good start, team is welcoming.",2026-07-10 00:00:00,positive,false,
PK-5225,EMP7098,Day 30,Day 30,Belonging,7,"Good start, team is welcoming.",30/07/2026,positive,false,
PK-5226,EMP7099,Day 7,Day 7,Onboarding,8,Enjoying the projects.,May 27 2026,positive,false,
PK-5227,EMP7099,Day 30,Day 30,Belonging,10,Would like more 1:1 time.,2026-06-20 00:00:00,neutral,false,
PK-5228,EMP7100,Day 7,Day 7,Onboarding,9,"Clear enough, still learning.",2026-06-01 00:00:00,neutral,false,
PK-5229,EMP7100,Day 30,Day 30,Belonging,10,Smooth onboarding.,2026-06-26 00:00:00,positive,false,
PK-5230,EMP7101,Day 7,Day 7,Onboarding,10,Would like more 1:1 time.,18/05/2026,neutral,false,
